s_sigma 0 gamma,delta_m 0 gamma,s_sigma 1 gamma,delta_m 1 gamma,s_sigma 2 gamma,delta_m 2 gamma
r1p0_eTOS,1.055 ± 0.008, 1.10 ± 0.50,1.092 ± 0.007, 4.80 ± 0.40,1.098 ± 0.012,  9.6 ± 0.7 
r1p0_hTOS,1.106 ± 0.030, 2.60 ± 1.50,1.136 ± 0.021, 3.70 ± 1.50,1.140 ± 0.032,  9.1 ± 2.1 
r1p0_TIS,1.108 ± 0.017, 2.80 ± 0.90,1.089 ± 0.012, 2.30 ± 1.00,1.103 ± 0.021, 10.4 ± 1.5 
r1p0_aavg,1.068 ± 0.023, 1.50 ± 0.70,1.094 ± 0.012, 4.30 ± 0.90,1.103 ± 0.012,  9.7 ± 0.4 
r2p1_eTOS,1.112 ± 0.007,-1.70 ± 0.33,1.135 ± 0.007,-8.05 ± 0.24,1.215 ± 0.004,-8.83 ± 0.34
r2p1_hTOS,1.178 ± 0.031,-1.30 ± 1.60,1.110 ± 0.021,-15.1 ± 1.30,1.290 ± 0.050,-18.3 ± 2.4 
r2p1_TIS,1.143 ± 0.020,-0.80 ± 0.90,1.178 ± 0.015,-13.8 ± 1.00,1.183 ± 0.024,-15.7 ± 1.4 
r2p1_avg,1.118 ± 0.016,-1.59 ± 0.29,1.140 ± 0.018,-8.50 ± 1.70,1.215 ± 0.008, -9.4 ± 2.0 
2017_eTOS,1.082 ± 0.008,-3.00 ± 0.40,1.125 ± 0.007,-5.30 ± 0.40,1.121 ± 0.014, -6.4 ± 0.6 
2017_hTOS,1.077 ± 0.032,-1.70 ± 1.40,1.152 ± 0.022,-10.0 ± 1.40,1.161 ± 0.034,-14.0 ± 2.0 
2017_TIS,1.093 ± 0.016,-1.60 ± 0.80,1.160 ± 0.016,-10.6 ± 1.00,1.117 ± 0.023,-13.4 ± 1.4 
2017_avg,1.084 ± 0.003,-2.70 ± 0.50,1.132 ± 0.013,-6.20 ± 2.00,1.125 ± 0.014, -8.0 ± 3.0 
2018_eTOS,1.098 ± 0.007,-2.10 ± 0.33,1.113 ± 0.007,-5.00 ± 0.33,1.153 ± 0.013, -2.7 ± 0.6 
2018_hTOS,1.134 ± 0.031,-2.10 ± 1.30,1.172 ± 0.017,-7.10 ± 1.20,1.127 ± 0.029,-11.6 ± 1.5 
2018_TIS,1.104 ± 0.018,-1.90 ± 0.90,1.169 ± 0.014,-8.00 ± 0.90,1.192 ± 0.022,-10.0 ± 1.2 
2018_avg,1.101 ± 0.007,-2.10 ± 0.07,1.129 ± 0.026,-5.50 ± 1.00,1.158 ± 0.020, -5.0 ± 4.0 
